OBJECTID,FEATURETYPE,DESCRIPTION,CLASS,FID,NAME,OPERATIONALSTATUS,OWNER,INDUSTRYID,ADDRESS,SUBURB,STATE,SPATIALCONFIDENCE,REVISED,COMMENT,LATITUDE,LONGITUDE
421,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,421,BP Hartfield,Operational,BP,1828,155 Hale Road,Forrestfield,Western Australia,5,20110725,,-31.9906329999999,116.000044
422,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,422,BP Peppermint Grove,Operational,BP,6519,533 Stirling Highway,Cottesloe,Western Australia,5,20110725,,-31.996866,115.763381
423,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,423,BP Bentley,Operational,BP,6344,1158 Albany Highway,Bentley,Western Australia,5,20110725,,-32.0026789999999,115.920364
424,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,424,BP Crystal Brook,Operational,BP,6334,14-16 Marri Crescent,Lesmurdie,Western Australia,5,20110725,,-32.012061,116.035296
425,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,425,BP Manning,Operational,BP,6227,75 Manning Road,Manning,Western Australia,5,20110725,,-32.0120949999999,115.864477
426,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,426,BP Applecross,Operational,BP,6200,848-852 Canning Highway,Applecross,Western Australia,5,20110725,,-32.015101,115.843231
427,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,427,BP Cannington,Operational,BP,6204,1443 Albany Highway,Cannington,Western Australia,5,20110725,,-32.025776,115.941845
428,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,428,BP Attadale,Operational,BP,6188,528 Canning Highway,Attadale,Western Australia,5,20110725,,-32.031729,115.808896
429,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,429,BP Connect Riverton,Operational,BP,6186,339 High Road,Parkwood,Western Australia,5,20110725,,-32.038987,115.904396
430,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,430,BP Westgate,Operational,BP,6220,85 Queen Victoria Street,Fremantle,Western Australia,5,20110725,,-32.0454609999999,115.753092
431,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,431,BP Connect Myaree,Operational,BP,1840,246 Leach Highway,Myaree,Western Australia,5,20110725,,-32.045763,115.820261
