OBJECTID,FEATURETYPE,DESCRIPTION,CLASS,FID,NAME,OPERATIONALSTATUS,OWNER,INDUSTRYID,ADDRESS,SUBURB,STATE,SPATIALCONFIDENCE,REVISED,COMMENT,LATITUDE,LONGITUDE
1,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,1,Cobram,Operational,BP,,3701 Murray Valley Highway,Cobram,Victoria,5,20110725,,-35.9211754139999,145.638305815
2,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,2,Horsham,Operational,Atlas Fuels Pty Ltd,,2 O'Callaghans Parade,Horsham,Victoria,5,20110725,,-36.7191071299999,142.199983937
3,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,3,Paynesville,Operational,7-Eleven Pty Ltd,,Paynesville Road,Paynesville,Victoria,5,20120713,,-37.9070616619999,147.719016274
4,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,4,Lakes Entrance,Operational,7-Eleven Pty Ltd,,16 Princes Highway,Lakes Entrance,Victoria,5,20120713,,-37.874816895,148.007873535
5,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,5,Oz Fuel,Operational,Oz Fuel,,653 Deception Bay Road,Deception Bay,Queensland,5,20110725,,-27.2051319999999,153.038373
6,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,6,Independent,Operational,Independent Fuel Supplies,,653 Deception Bay Road,Deception Bay,Queensland,5,20110725,,-27.205189,153.038314
7,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,7,Coles Express Rothwell,Operational,Shell,,761 Deception Bay Road,Rothwell,Queensland,5,20110725,,-27.2139079999999,153.047045
8,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,8,Independent Kempsey,Operational,Independent Fuel Supplies,,101 Smith Street,Kempsey,New South Wales,5,20110725,,-31.0752869999999,152.843878
9,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,9,Independent Wanneroo,Operational,Independent Fuel Supplies,,951 Wanneroo Road,Wanneroo,Western Australia,5,20110725,,-31.75262,115.803339
10,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,10,Gull Madeley,Operational,Gull,,182 Wanneroo Road,Madeley,Western Australia,5,20110725,,-31.816954,115.82135
11,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,11,Gull Dianella,Operational,Gull,,63 Walter Road West,Dianella,Western Australia,5,20110725,,-31.906418,115.881988
12,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,12,Liberty-Como,Operational,Liberty,,25 Preston Street,Como,Western Australia,5,20110725,,-31.9942599999999,115.859453
13,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,13,Independent Maddington,Operational,Independent Fuel Supplies,,137 Kelvin Road,Maddington,Western Australia,5,20110725,,-32.0346539999999,116.000983
14,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,14,Caltex Wellington,Operational,Caltex,,124 Lee Street,Wellington,New South Wales,5,20110725,,-32.550847,148.941095
15,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,15,Independent Wellington,Operational,Independent Fuel Supplies,,156-174 Mitchell Highway,Wellington,New South Wales,5,20110725,,-32.5625029999999,148.943067
16,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,16,Independent Taralga,Operational,Independent Fuel Supplies,,60 Bunnaby Street,Taralga,New South Wales,5,20110725,,-34.405932,149.818929
17,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,17,Independent Crookwell,Operational,Independent Fuel Supplies,,204 Goulburn Street,Crookwell,New South Wales,5,20110725,,-34.4610739999999,149.474369
18,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,18,BP Kerang,Operational,BP,,19 Wellington Street,Kerang,Victoria,5,20110725,,-35.7347389999999,143.922234
19,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,19,BP Serpentine,Operational,BP,,Loddon Valley Highway and Bridgewater-Serpentine Road,Serpentine,Victoria,5,20110725,,-36.4141729999999,143.974645
20,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,20,Independent Horsham,Operational,Independent Fuel Supplies,,93 Wilson Street,Horsham,Victoria,5,20110725,,-36.716937,142.196748
21,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,21,Independent Heathcote,Operational,Independent Fuel Supplies,,10-14 High Street,Heathcote,Victoria,5,20110725,,-36.932109,144.716106
22,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,22,Caltex Bairnsdale,Operational,Caltex,,322 Main Street,Bairnsdale,Victoria,5,20110725,,-37.827075,147.624612
23,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,23,Independent Sale,Operational,Independent Fuel Supplies,,113 York Street,Sale,Victoria,5,20110725,,-38.1100559999999,147.067867
24,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,24,Mobil Sale,Operational,7-Eleven Pty Ltd,,127-133 Foster Street,Sale,Victoria,5,20120713,,-38.111183,147.067728
25,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,25,Mobil Traralgon,Operational,7-Eleven Pty Ltd,,21 Princes Street,Traralgon,Victoria,5,20120713,,-38.198027,146.540177
26,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,26,Mobil Trafalgar,Operational,7-Eleven Pty Ltd,,41 Princes Highway,Trafalgar,Victoria,5,20120713,,-38.20848,146.151179
27,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,27,Shell Morwell,Operational,Shell,,167-169 Princes Drive,Morwell,Victoria,5,20110725,,-38.2357069999999,146.395998
28,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,28,Roma Truck Stop,Operational,Shell,,72 Quinton Street,Roma,Queensland,5,20110725,,-26.571671,148.78727
29,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,29,Coles Express Caboolture,Operational,Shell,,686 The Abbey Place,Caboolture,Queensland,5,20110725,,-27.072266,153.025322
30,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,30,Coles Express Deception Bay,Operational,Shell,,376 Deception Bay Road,Deception Bay,Queensland,5,20110725,,-27.1901549999999,153.018573
31,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,31,Coles Express Rothwell,Operational,Shell,,759-761 Deception Bay Road,Rothwell,Queensland,3,20110725,,-27.2138239999999,153.045902
32,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,32,Coles Express Kippa-Ring,Operational,Shell,,419 Elizabeth Avenue,Kippa-ring,Queensland,5,20110725,,-27.228989,153.085277
33,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,33,Coles Express Clontarf,Operational,Shell,,110 Hornibrook Esplanade,Clontarf,Queensland,5,20110725,,-27.25731,153.085961
34,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,34,Coles Express Birkdale,Operational,Shell,,143-153 Birkdale Road,Birkdale,Queensland,5,20110725,,-27.4931319999999,153.216278
35,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,35,West End ,Operational,Shell,,143-145 Lambeth Street,Glen Innes,New South Wales,5,20110725,,-29.734631,151.728833
36,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,36,Coles Express Kempsey,Operational,Shell,,165 Smith Street,Kempsey,New South Wales,5,20110725,,-31.070242,152.845724
37,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,37,Coles Express Wanneroo,Operational,Shell,,964 Wanneroo Road,Wanneroo,Western Australia,5,20110725,,-31.7513059999999,115.803465
38,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,38,Coles Express Ocean Reef,Operational,Shell,,4-6 Marina Boulevard,Ocean Reef,Western Australia,5,20110725,,-31.767346,115.749534
39,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,39,Coles Express Edgewater,Operational,Shell,,120 Joondalup Drive,Edgewater,Western Australia,5,20110725,,-31.769528,115.778794
40,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,40,Coles Express Upper Swan Roadhouse,Operational,Shell,,1333 Great Northern Highway,Upper Swan,Western Australia,5,20110725,,-31.7746309999999,116.025962
41,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,41,Coles Express Wanneroo Pearsalls,Operational,Shell,,621 Wanneroo Road,Wanneroo,Western Australia,5,20110725,,-31.7801699999999,115.808312
42,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,42,Gidgegannup General Store,Operational,Shell,,2086 Toodyay Road,Gidgegannup,Western Australia,5,20110725,,-31.7944219999999,116.193175
43,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,43,Coles Express Kingsley,Operational,Shell,,3-9 Moolanda Boulevard,Kingsley,Western Australia,5,20110725,,-31.819744,115.805766
44,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,44,Coles Express Girrawheen,Operational,Shell,,60 Marangaroo Drive,Girrawheen,Western Australia,5,20110725,,-31.834462,115.829036
45,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,45,Coles Express Duncraig,Operational,Shell,,193 Warwick Road,Duncraig,Western Australia,5,20110725,,-31.835614,115.78304
46,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,46,Coles Express Warwick,Operational,Shell,,274 Erindale Road,Warwick,Western Australia,5,20110725,,-31.84448,115.812641
47,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,47,Coles Express Malaga,Operational,Shell,,492 Alexander Drive,Malaga,Western Australia,5,20110725,,-31.86338,115.879245
48,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,48,Coles Express Middle Swan,Operational,Shell,,30 Great Northern Highway,Middle Swan,Western Australia,5,20110725,,-31.87454,116.011063
49,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,49,Coles Express Scarborough,Operational,Shell,,205 West Coast Highway,Scarborough,Western Australia,5,20110725,,-31.892794,115.757194
50,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,50,Coles Express Dianella,Operational,Shell,,67 Walter Road West,Dianella,Western Australia,5,20110725,,-31.905817,115.88263
51,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,51,Coles Express Mount Lawley,Operational,Shell,,247 Walcott Street,North Perth,Western Australia,5,20110725,,-31.923826,115.859166
52,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,52,Coles Express Highgate,Operational,Shell,,3 Guildford Road,Mount Lawley,Western Australia,5,20110725,,-31.93816,115.877089
53,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,53,Coles Express Perth,Operational,Shell,,480-484 William Street,Perth,Western Australia,5,20110725,,-31.940867,115.86411
54,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,54,Coles Express Wembley,Operational,Shell,,337 Cambridge Street,Wembley,Western Australia,5,20110725,,-31.94098,115.811994
55,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,55,Coles Express West Perth,Operational,Shell,,Thomas Street and Wellington Street,West Perth,Western Australia,5,20110725,,-31.945662,115.839626
56,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,56,Coles Express Jolimont,Operational,Shell,,Hay Street and Jersey Street,Jolimont,Western Australia,5,20110725,,-31.9473619999999,115.811898
57,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,57,Coles Express Cloverdale,Operational,Shell,,223 Belmont Avenue,Cloverdale,Western Australia,5,20110725,,-31.965068,115.933162
58,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,58,Coles Express Kalamunda,Operational,Shell,,7 Mead Street,Kalamunda,Western Australia,5,20110725,,-31.973541,116.059356
59,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,59,Coles Express South Perth,Operational,Shell,,391 Mill Point Road,South Perth,Western Australia,5,20110725,,-31.9746059999999,115.882016
60,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,60,Coles Express Kewdale,Operational,Shell,,518 Abernethy Road,Kewdale,Western Australia,5,20110725,,-31.980117,115.958419
61,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,61,Coles Express Claremont,Operational,Shell,,275-281 Stirling Highway,Claremont,Western Australia,5,20110725,,-31.9822159999999,115.783957
62,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,62,Coles Express Victoria Park,Operational,Shell,,66 Kent Street,East Victoria Park,Western Australia,5,20110725,,-31.985588,115.896159
63,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,63,Coles Express Forrestfield,Operational,Shell,,2 Strelitzia Avenue,Forrestfield,Western Australia,5,20110725,,-31.9886979999999,116.010652
64,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,64,Coles Express Bentley,Operational,Shell,,1132 Albany Highway,Bentley,Western Australia,5,20110725,,-32.000615,115.918701
65,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,65,Coles Express Mosman Park,Operational,Shell,,582 Stirling Highway,Mosman Park,Western Australia,5,20110725,,-32.0051809999999,115.759436
66,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,66,Coles Express Karawara,Operational,Shell,,25 Walanna Drive,Karawara,Western Australia,5,20110725,,-32.011831,115.884138
67,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,67,Coles Express Mount Pleasant,Operational,Shell,,1 The Esplanade,Mount Pleasant,Western Australia,5,20110725,,-32.0126089999999,115.850035
68,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,68,Coles Express Langford,Operational,Shell,,74 Nicholson Road,Langford,Western Australia,5,20110725,,-32.032011,115.938833
69,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,69,Coles Express Bicton,Operational,Shell,,394 Canning Highway,Bicton,Western Australia,5,20110725,,-32.0340919999999,115.792711
70,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,70,Coles Express Willetton,Operational,Shell,,235-239 High Road,Willetton,Western Australia,5,20110725,,-32.039076,115.893925
71,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,71,Coles Express Myaree,Operational,Shell,,69 North Lake Road,Myaree,Western Australia,5,20110725,,-32.039552,115.815331
72,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,72,Coles Express Brentwood,Operational,Shell,,40 Moolyeen Road,Brentwood,Western Australia,5,20110725,,-32.0413629999999,115.848928
73,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,73,Coles Express Palmyra,Operational,Shell,,80-82 Carrington Street,Palmyra,Western Australia,5,20110725,,-32.047334,115.77988
74,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,74,Coles Express Maddington,Operational,Shell,,117 Burslem Drive,Maddington,Western Australia,5,20110725,,-32.0553239999999,115.979919
75,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,75,Coles Express Fremantle,Operational,Shell,,101 Hampton Road,Fremantle,Western Australia,5,20110725,,-32.063301,115.756631
76,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,76,Coles Express Bullcreek,Operational,Shell,,42 Benningfield Road,Bull Creek,Western Australia,5,20110725,,-32.0634029999999,115.8579
77,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,77,Coles Express Kardinya,Operational,Shell,,North Lake Road and South Street,Kardinya,Western Australia,5,20110725,,-32.0674509999999,115.815269
78,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,78,Coles Express Canning Vale,Operational,Shell,,280 Bannister Road,Canning Vale,Western Australia,5,20110725,,-32.0704039999999,115.895682
79,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,79,Coles Express Leeming,Operational,Shell,,51 Farrington Road,Leeming,Western Australia,5,20110725,,-32.0791849999999,115.858292
80,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,80,Coles Express Southern River,Operational,Shell,,Ranford Road and Lakey Street,Southern River,Western Australia,5,20110725,,-32.103898,115.935304
81,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,81,Shell Service Spearwood,Operational,Shell,,Spearwood Avenue and Wellard Street,Bibra Lake,Western Australia,5,20110725,,-32.104418,115.803926
82,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,82,Coles Express Westfield,Operational,Shell,,88 Champion Drive,Seville Grove,Western Australia,5,20110725,,-32.130591,116.000961
83,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,83,Sam And Joels ,Operational,Shell,,14-16 Lee Street,Montefiores,New South Wales,5,20110725,,-32.540943,148.942852
84,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,84,Barmera Roadhouse,Operational,Shell,,67 Tonkin Avenue,Barmera,South Australia,5,20110725,,-34.256751,140.464615
85,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,85,Gunning Motors,Operational,Shell,,54-58 Yass Street,Gunning,New South Wales,5,20110725,,-34.781483,149.268317
86,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,86,Coles Express Murray Bridge,Operational,Shell,,57 Adelaide Road,Murray Bridge,South Australia,5,20110725,,-35.121799,139.268724
87,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,87,Coles Express Kerang,Operational,Shell,,92 Wellington Street,Kerang,Victoria,5,20110725,,-35.735377,143.917782
88,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,88,Coles Express Tocumwal,Operational,Shell,,25 Dean Street,Tocumwal,New South Wales,5,20110725,,-35.8081119999999,145.560139
89,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,89,Cohuna Shell ,Operational,Shell,,6323 Murray Valley Highway,Cohuna,Victoria,5,20110725,,-35.8197969999999,144.233252
90,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,90,Strathmerton Roadhouse,Operational,Independent Fuel Supplies,,4972 Murray Valley Highway,Strathmerton,Victoria,5,20110725,,-35.9250489999999,145.50007
91,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,91,Howlong Trading Post,Operational,Shell,,142-160 Hawkins Street,Howlong,New South Wales,5,20110725,,-35.981661,146.639073
92,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,92,Corowa ,Operational,Shell,,223 Sanger Street,Corowa,New South Wales,5,20110725,,-35.995241,146.391551
93,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,93,Coles Express Albury North,Operational,Shell,,575 Wagga Road,Lavington,New South Wales,5,20110725,,-36.036715,146.963414
94,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,94,Coles Express Albury,Operational,Shell,,465 Guinea Street,Albury,New South Wales,5,20110725,,-36.075126,146.921293
95,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,95,Coles Express Wodonga,Operational,Shell,,81-83 Elgin Boulevard,Wodonga,Victoria,5,20110725,,-36.1197329999999,146.879643
96,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,96,Coles Express Echuca,Operational,Shell,,235 Ogilvie Avenue,Echuca,Victoria,5,20110725,,-36.1407639999999,144.748856
97,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,97,Shell Kyabram,Operational,Shell,,275-285 Allan Street,Kyabram,Victoria,5,20110725,,-36.313256,145.050578
98,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,98,Coles Express Wangaratta,Operational,Shell,,5 Parfitt Road,Wangaratta,Victoria,5,20110725,,-36.352117,146.331491
99,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,99,Murray Goulburn Rochester,Operational,Shell,,18 Moore Street,Rochester,Victoria,5,20110725,,-36.363399,144.698012
100,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,100,Coles Express Benalla,Operational,Shell,,Cnr Bridge Street and Margaret Street,Benalla,Victoria,5,20110725,,-36.5564429999999,145.970777
101,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,101,Coles Express Horsham,Operational,Shell,,170-174 Baillie Street,Horsham,Victoria,5,20110725,,-36.7113659999999,142.198875
102,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,102,Coles Express Euroa,Operational,Shell,,167 Tarcombe Street,Euroa,Victoria,5,20110725,,-36.7429079999999,145.591496
103,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,103,Rangeway ,Operational,Shell,,90-92 High Street,Heathcote,Victoria,5,20110725,,-36.925443,144.711517
104,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,104,Shell Seymour,Operational,Shell,,37-39 Emily Street,Seymour,Victoria,5,20110725,,-37.02037,145.127793
105,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,105,Coles Express Maryborough,Operational,Shell,,53-55 High Street,Maryborough,Victoria,5,20110725,,-37.048329,143.734877
106,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,106,Top End Servo,Operational,Shell,,312 Barker Street,Castlemaine,Victoria,5,20110725,,-37.055284,144.218908
107,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,107,East End Servo,Operational,Shell,,Pyrenees Highway and Eureka Street,Chewton,Victoria,5,20110725,,-37.077983,144.247838
108,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,108,Yea ,Operational,Shell,,98-100 High Street,Yea,Victoria,5,20110725,,-37.211736,145.421975
109,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,109,Kuppers ,Operational,Shell,,199 Burton Avenue,Kyneton,Victoria,5,20110725,,-37.237636,144.41984
110,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,110,Coles Express Daylesford,Operational,Shell,,47 Raglan Street,Daylesford,Victoria,5,20110725,,-37.339649,144.146735
111,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,111,Coles Express Creswick,Operational,Shell,,18 Clunes Road,Creswick,Victoria,5,20110725,,-37.4174389999999,143.893701
112,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,112,Shell Mallacoota,Operational,Shell,,89 Betka Road,Mallacoota,Victoria,5,20110725,,-37.559141,149.755712
113,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,113,Newmerella Self Serve,Operational,Shell,,5327 Princes Highway,Newmerella,Victoria,5,20110725,,-37.735091,148.431644
114,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,114,Coles Express Bairnsdale,Operational,Shell,,251 Main Street,Bairnsdale,Victoria,5,20110725,,-37.827393,147.626648
115,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,115,North Arm Auto & Marine,Operational,Shell,,66 Marine Parade,Lakes Entrance,Victoria,3,20110725,,-37.880957,147.97716
116,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,116,Urquhart Motors,Operational,Shell,,9 Main Street,Derrinallum,Victoria,5,20110725,,-37.9484469999999,143.224052
117,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,117,Murray Goulburn Maffra,Operational,Independent Fuel Supplies,,8 Foster Street,Maffra,Victoria,5,20110725,,-37.9712499999999,146.97808
118,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,118,Coles Express Sale,Operational,Shell,,215 York Street,Sale,Victoria,5,20110725,,-38.104846,147.067706
119,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,119,Superstock Auto,Operational,Independent Fuel Supplies,,94 Moore Street,Moe,Victoria,5,20110725,,-38.16604,146.262472
120,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,120,Coles Express Traralgon,Operational,Shell,,115 Princes Street,Traralgon,Victoria,5,20110725,,-38.199372,146.5344
121,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,121,Coles Express Trafalgar,Operational,Shell,,53 Princes Highway,Trafalgar,Victoria,5,20110725,,-38.208275,146.153017
122,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,122,Euroka ,Operational,Independent Fuel Supplies,,134 George Street,Morwell,Victoria,5,20110725,,-38.2391049999999,146.399595
123,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,123,Yinnar Motors,Operational,Shell,,50-52 Main Street,Yinnar,Victoria,5,20110725,,-38.322821,146.327698
124,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,124,Coles Express Colac,Operational,Shell,,2 Princes Highway,Colac East,Victoria,5,20110725,,-38.335298,143.610476
125,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,125,Coles Express Anglesea,Operational,Shell,,107 Great Ocean Road,Anglesea,Victoria,5,20110725,,-38.4085729999999,144.186151
126,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,126,Timboon Fuels,Operational,Shell,,109 Bailey Street,Timboon,Victoria,5,20110725,,-38.482851,142.966563
127,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,127,Woodside ,Operational,Shell,,66 High Street,Woodside,Victoria,5,20110725,,-38.524327,146.874587
128,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,128,Murray Goulburn Yarram,Operational,Shell,,41 Commercial Road,Yarram,Victoria,5,20110725,,-38.552961,146.681321
129,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,129,Meeniyan Shell ,Operational,Shell,,Lot 26 Whitelaw Street,Meeniyan,Victoria,5,20110725,,-38.578966,146.011077
130,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,130,Dowson's,Operational,Shell,,307 White Road,South Dudley,Victoria,5,20110725,,-38.5880739999999,145.579206
131,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,131,Alberton Roadhouse,Operational,Shell,,131 Broughton Street,Alberton,Victoria,5,20110725,,-38.619785,146.668015
132,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,132,Yanakie Licensed Store,Operational,Shell,,3638 Meeniyan-Promontory Road,Yanakie,Victoria,5,20110725,,-38.812495,146.20739
133,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,133,RDD Racecourse,Operational,BP,411945,26256 Peak Downs Highway,Racecourse,Queensland,5,20110725,,-21.166469,149.131175
134,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,134,Mobil West Kempsey,Operational,7-Eleven Pty Ltd,411875,8 Elbow Street,West Kempsey,New South Wales,5,20120713,,-31.0796309999999,152.831519
135,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,135,Mobil Crookwell,Operational,7-Eleven Pty Ltd,411856,14-20 Carrington Street,Crookwell,New South Wales,5,20120713,,-34.4548639999999,149.459566
136,Petrol Station,An establishment where a range of fuel products can be purchased by motorists,Petrol Station,136,Mobil Murray Bridge,Operational,7-Eleven Pty Ltd,411958,116 Swanport Road,Murray Bridge,South Australia,5,20120713,,-35.131119,139.280596
